front,type,back,set
지금,n.,ตอนนี้,Vocab
아까,n.,เมื่อกี้,Vocab
방금,n.,เพิ่ง,Vocab
나중에,n.,ทีหลัง,Vocab
요즘,n.,ช่วงนี้,Vocab
하루,n.,หนึ่งวัน,Vocab
시간,n.,เวลา,Vocab
약속,n.,นัดหมาย,Vocab
계획,n.,แผน,Vocab
일,n.,งาน / เรื่อง,Vocab
문제,n.,ปัญหา,Vocab
생각,n.,ความคิด,Vocab
느낌,n.,ความรู้สึก,Vocab
기분,n.,อารมณ์,Vocab
상태,n.,สภาพ,Vocab
준비,n.,การเตรียม,Vocab
연락,n.,การติดต่อ,Vocab
소식,n.,ข่าว,Vocab
이야기,n.,เรื่อง / การคุย,Vocab
자리,n.,ที่นั่ง / ที่,Vocab
근처,n.,แถวนี้ / ใกล้,Vocab
밖,n.,ข้างนอก,Vocab
안,n.,ข้างใน,Vocab
쪽,n.,ด้าน / ฝั่ง,Vocab
길,n.,ทาง,Vocab
방향,n.,ทิศทาง,Vocab
방법,n.,วิธี,Vocab
이유,n.,เหตุผล,Vocab
결과,n.,ผลลัพธ์,Vocab
상황,n.,สถานการณ์,Vocab
바로,adv.,ทันที,Vocab
금방,adv.,แป๊บเดียว,Vocab
이미,adv.,แล้ว (already),Vocab
아직,adv.,ยัง,Vocab
먼저,adv.,ก่อน,Vocab
같이,adv.,ด้วยกัน,Vocab
혼자,adv.,คนเดียว,Vocab
다시,adv.,อีกครั้ง,Vocab
계속,adv.,ต่อเนื่อง,Vocab
조금,adv.,นิดหน่อย,Vocab
많이,adv.,เยอะ,Vocab
빨리,adv.,เร็ว,Vocab
천천히,adv.,ช้า,Vocab
자주,adv.,บ่อย,Vocab
가끔,adv.,บางครั้ง,Vocab
항상,adv.,เสมอ,Vocab
보통,adv.,ปกติ,Vocab
진짜,adv.,จริงมาก,Vocab
완전,adv.,สุด ๆ,Vocab
약간,adv.,ประมาณ / kinda,Vocab
그냥,adv.,เฉย ๆ,Vocab
벌써,adv.,แล้ว (เร็วกว่าคาด),Vocab
드디어,adv.,ในที่สุด,Vocab
당연히,adv.,แน่นอน,Vocab
아마,adv.,น่าจะ,Vocab
혹시,adv.,เผื่อ / maybe,Vocab
잠깐,adv.,แป๊บ,Vocab
이따가,adv.,เดี๋ยว,Vocab
지금까지,adv.,จนถึงตอนนี้,Vocab
앞으로,adv.,ต่อจากนี้,Vocab
이제,adv.,ตอนนี้ (change state),Vocab
오늘,n.,วันนี้,Vocab
내일,n.,พรุ่งนี้,Vocab
어제,n.,เมื่อวาน,Vocab
이번,n.,ครั้งนี้,Vocab
다음,n.,ถัดไป,Vocab
지난,n.,ที่ผ่านมา,Vocab
사람,n.,คน,Vocab
친구,n.,เพื่อน,Vocab
가족,n.,ครอบครัว,Vocab
회사,n.,บริษัท,Vocab
집,n.,บ้าน,Vocab
카페,n.,คาเฟ่,Vocab
식당,n.,ร้านอาหาร,Vocab
물,n.,น้ำ,Vocab
커피,n.,กาแฟ,Vocab
음식,n.,อาหาร,Vocab
메뉴,n.,เมนู,Vocab
가격,n.,ราคา,Vocab
돈,n.,เงิน,Vocab
카드,n.,บัตร,Vocab
번호,n.,หมายเลข,Vocab
이름,n.,ชื่อ,Vocab
날씨,n.,อากาศ,Vocab
비,n.,ฝน,Vocab
눈,n.,หิมะ,Vocab
덥다,adj.,ร้อน,Vocab
춥다,adj.,หนาว,Vocab
좋다,adj.,ดี,Vocab
나쁘다,adj.,ไม่ดี,Vocab
재밌다,adj.,สนุก,Vocab
지루하다,adj.,น่าเบื่อ,Vocab
피곤하다,adj.,เหนื่อย,Vocab
괜찮다,adj.,โอเค,Vocab
어렵다,adj.,ยาก,Vocab
쉽다,adj.,ง่าย,Vocab
바쁘다,adj.,ยุ่ง,Vocab
심심하다,adj.,เบื่อ (ไม่มีอะไรทำ),Vocab
필요하다,adj.,จำเป็น,Vocab
가능하다,adj.,เป็นไปได้,Vocab
불가능하다,adj.,เป็นไปไม่ได้,Vocab
